OBJECTID,ZCTA5CE10,GEOID10,CohortCnt,GradCnt,GradRate,Shape__Area,Shape__Length
108,49310,2649310,59,43,0.728813559322034,2493617999.71484,342133.85577967
109,49048,2649048,173,90,0.520231213872832,1094320400.20215,259789.51819459
110,49006,2649006,335,278,0.829850746268657,181904409.989502,110458.246021234
111,49097,2649097,230,199,0.865217391304348,2157491855.87329,302636.121092877
112,49508,2649508,597,529,0.886097152428811,336370573.406738,126940.389037386
113,49301,2649301,191,183,0.958115183246073,1618306011.06982,286843.124986536
114,49655,2649655,76,69,0.907894736842105,2550561283.68359,337629.587857956
115,48003,2648003,125,120,0.96,922150394.815918,140438.208520807
116,49256,2649256,48,41,0.854166666666667,1643576275.14722,282624.700293332
117,48169,2648169,342,301,0.880116959064328,1754883750.51196,280494.149016358
118,48178,2648178,513,471,0.91812865497076,1464321135.89771,301540.464731402
119,49868,2649868,40,36,0.9,20762355699.375,854338.400228586
120,49781,2649781,52,51,0.980769230769231,2816982034.02734,526843.579824392
121,48062,2648062,153,138,0.901960784313726,1102988621.45557,173309.750227131
122,48036,2648036,16,0,0,238021430.932129,160107.47033465
123,48312,2648312,374,321,0.858288770053476,315694214.179688,93351.0680110429
124,48043,2648043,68,30,0.441176470588235,117910012.125488,61114.3660835173
125,49849,2649849,127,119,0.937007874015748,8327931866.85352,981159.063046505
126,48131,2648131,113,105,0.929203539823009,1408100763.89453,234947.880026892
127,49437,2649437,92,88,0.956521739130435,2216056871.87207,350767.784296835
128,49412,2649412,158,130,0.822784810126582,3090394200.3208,353346.387357239
129,48309,2648309,417,397,0.952038369304556,431294759.439941,95157.0806904893
130,48301,2648301,,,,211432282.009277,77180.2061974189
131,48360,2648360,589,567,0.962648556876061,355137564.010254,105966.83573802
132,48328,2648328,388,308,0.793814432989691,323686930.187988,120841.476342788
133,49417,2649417,478,410,0.857740585774059,1525203802.92676,255608.591721113
134,49424,2649424,520,491,0.944230769230769,1796593554.48438,313729.931423698
135,48638,2648638,68,46,0.676470588235294,188695954.822266,65921.5860966481
136,48023,2648023,489,469,0.959100204498977,477818240.361328,107934.129517636
137,49032,2649032,12,0,0,1042728489.84143,238623.707652202
138,48427,2648427,49,43,0.877551020408163,2733088544.94629,351733.944030535
139,48103,2648103,874,739,0.845537757437071,1827202611.73828,297684.532174041
140,48104,2648104,220,175,0.795454545454545,223669174.813477,118277.166416001
141,48205,2648205,192,151,0.786458333333333,177924795.137695,68397.233078354
142,48214,2648214,158,50,0.316455696202532,156919451.628418,58873.4045731157
143,48146,2648146,343,275,0.801749271137026,163644902.303467,55477.5895294715
144,48101,2648101,296,263,0.888513513513513,197021949.11792,79081.6132287102
145,48193,2648193,211,199,0.943127962085308,202929961.276367,93924.2489242778
146,48223,2648223,80,73,0.9125,168757060.687012,65999.4604661677
147,48180,2648180,612,466,0.761437908496732,658853024.37207,104934.35418698
148,48185,2648185,415,348,0.83855421686747,339422800.149414,102006.617676821
149,48208,2648208,290,144,0.496551724137931,88156261.2155762,51598.8197379479
150,49423,2649423,356,296,0.831460674157303,2208942375.25586,301498.512878179
151,49090,2649090,124,98,0.790322580645161,2260495476.3584,287716.101022661
152,49622,2649622,20,19,0.95,1376435419.29688,217623.543094496
153,48732,2648732,178,132,0.741573033707865,863876485.879883,158582.529603358
154,48642,2648642,308,295,0.957792207792208,3203535570.92871,414268.905485329
155,49120,2649120,333,276,0.828828828828829,3343145085.68042,372914.669789548
156,49099,2649099,44,44,1,1723101600.64697,266560.958598949
157,49045,2649045,65,53,0.815384615384615,2490496218.56104,416617.875321441
158,49042,2649042,20,3,0.15,1557656062.41455,260583.849592563
159,49721,2649721,122,118,0.967213114754098,8251192592.41016,723840.97372993
160,49749,2649749,65,54,0.830769230769231,2423160242.18945,502708.422919083
161,49701,2649701,,,,525592071.867188,161545.275868498
