zcta19,zcta_area,count_ntm_stops,totpop13_17,stops_per_capita,stops_per_sqmile
"01561",.1232728,0,243,0,0
"01562",34.01162,15,11856,1.26518,.4410257
"01564",31.67852,0,8000,0,0
"01566",29.34024,0,6006,0,0
"01568",21.69141,0,7706,0,0
"01569",29.68778,0,13864,0,0
"01570",14.597,12,16926,.708968,.822087
"01571",21.89146,0,11637,0,0
"01581",21.46203,10,18836,.530898,.4659391
"01583",13.52807,8,7639,1.04726,.5913632
"01585",26.19205,0,4661,0,0
"01588",9.245306,10,9864,1.01379,1.08163
"01590",33.62701,0,9297,0,0
"01602",6.011899,168,24166,6.95192,27.94458
"01603",4.643583,119,19981,5.95566,25.62676
"01604",6.622101,248,36772,6.74426,37.45035
"01605",5.772909,191,28742,6.64533,33.08558
"01606",5.937442,131,19375,6.76129,22.06337
"01607",3.215577,69,8698,7.93286,21.45804
"01608",.4475333,45,3371,13.3492,100.5512
"01609",3.843049,75,20714,3.62074,19.51575
"01610",2.127788,138,23438,5.88787,64.85609
"01611",3.692045,4,2451,1.63199,1.083411
"01612",16.07864,3,4845,.619195,.186583
"01701",17.66904,44,32098,1.3708,2.490232
"01702",8.85096,76,39226,1.93749,8.586639
"01718",.0464326,0,716,0,0
"01719",10.40779,0,5546,0,0
"01720",20.14464,3,22680,.132275,.148923
"01721",12.87422,11,17478,.629363,.8544205
"01730",13.88038,69,14031,4.91768,4.971047
"01731",.7922133,0,2012,0,0
"01740",20.07818,0,5167,0,0
"01741",15.52267,0,5160,0,0
"01742",25.73275,5,19383,.257958,.1943049
"01745",.4002188,4,501,7.98403,9.994533
"01746",19.05348,7,14480,.483425,.3673869
"01747",5.34466,0,5955,0,0
"01748",27.85468,8,16720,.478469,.2872048
"01749",11.86696,0,19843,0,0
"01752",22.1008,39,39771,.980614,1.764642
"01754",5.364789,0,10560,0,0
"01756",17.98553,0,5995,0,0
"01757",15.16789,22,28694,.766711,1.450432
"01760",15.8164,65,35715,1.81996,4.109658
"01770",16.16029,1,4302,.23245,.0618801
"01772",15.11639,13,9520,1.36555,.8599939
"01773",14.39657,2,4791,.417449,.138922
"01775",17.99455,0,7061,0,0
"01776",24.72614,0,18697,0,0
"01778",16.00794,8,13850,.577617,.499752
"01801",12.96094,133,40375,3.29412,10.2616
"01803",11.82286,75,26103,2.87323,6.343644
"01810",32.15451,46,35375,1.30035,1.430593
"01821",16.95967,51,32348,1.5766,3.007133
"01824",18.13938,112,25961,4.31416,6.17441
"01826",21.32948,74,30948,2.39111,3.469376
"01827",16.75381,0,3337,0,0
"01830",15.1159,21,26524,.791736,1.389266
"01832",11.88324,17,23372,.727366,1.430586
"01833",13.14785,1,8569,.1167,.0760581
"01834",9.396976,1,6697,.149321,.1064172
"01835",8.696184,7,13047,.536522,.8049507
"01840",.575681,7,5248,1.33384,12.15951
"01841",3.263424,23,48295,.47624,7.047812
"01843",3.61949,26,25942,1.00224,7.183332
"01844",22.99239,17,49587,.342832,.7393752
"01845",27.71556,16,30170,.530328,.577293
"01850",1.477747,71,16890,4.20367,48.04613
"01851",3.381052,125,29849,4.18775,36.97074
"01852",5.200421,223,34756,6.41616,42.88115
"01854",4.471249,83,29561,2.80775,18.56305
"01860",8.893559,3,6752,.444313,.3373228
"01862",9.655707,42,10676,3.93406,4.349759
"01863",4.944622,28,9106,3.0749,5.662718
"01864",13.49849,0,15598,0,0
"01867",9.969427,21,24894,.843577,2.10644
"01876",20.8217,71,30433,2.33299,3.409903
"01879",18.21018,21,12305,1.70662,1.153201
"01880",7.45098,74,26450,2.79773,9.93158
"01886",31.36367,31,24087,1.287,.9884047
"01887",17.15583,17,23538,.722236,.990917
"01890",6.348042,55,22579,2.43589,8.664089
"01901",.2741596,16,1878,8.5197,58.36018
"01902",2.494175,145,48218,3.00718,58.13545
"01904",5.0257,131,17320,7.56351,26.06602
"01905",4.018989,124,25590,4.84564,30.85353
"01906",11.80156,161,28037,5.74241,13.64227
"01907",3.462345,96,14758,6.50495,27.72687
"01908",2.419919,39,3488,11.1812,16.11624
"01913",13.73189,6,17218,.348473,.4369391
"01915",16.61798,136,41431,3.28257,8.183905
"01921",24.39932,1,8228,.121536,.0409847
"01922",9.891608,0,2812,0,0
"01923",14.1115,41,27391,1.49684,2.905431
"01929",16.04075,5,3687,1.35612,.3117061
"01930",31.60001,177,29858,5.92806,5.601264
"01937",.0730552,0,136,0,0
"01938",35.71107,5,13810,.362056,.1400126
"01940",11.20363,3,13425,.223464,.2677703
"01944",10.46767,1,5327,.187723,.0955322
"01945",7.78385,51,20393,2.50086,6.552028
"01949",14.48814,0,9656,0,0
"01950",10.65572,20,17890,1.11794,1.876925
"01951",16.40786,0,4152,0,0
"01952",17.7925,2,9035,.221361,.1124069
"01960",16.57488,74,52313,1.41456,4.464588
"01966",8.600134,15,7184,2.08797,1.744159
"01969",19.17612,1,6232,.160462,.0521482
"01970",13.59362,136,42991,3.16345,10.00469
"01982",14.91654,0,7991,0,0
"01983",12.81063,1,6496,.153941,.0780602
"01984",8.141059,1,5179,.193087,.1228341
"01985",14.72483,0,4545,0,0
"02019",18.89533,12,16929,.708843,.6350775
"02021",19.60419,29,22829,1.27031,1.479275
"02025",10.85138,1,8393,.119147,.0921542
"02026",10.64961,33,25362,1.30116,3.098706
"02030",15.43609,0,5922,0,0
"02032",2.398846,22,4410,4.98866,9.171076
"02035",20.84956,5,17448,.286566,.2398132
"02038",27.02897,17,32843,.517614,.6289547
"02043",23.05573,63,23047,2.73354,2.73251
"02045",8.154423,41,10402,3.94155,5.027946
"02047",.2475618,0,65,0,0
"02048",20.42151,4,23678,.168933,.1958719
"02050",33.30796,12,26032,.460971,.3602742
"02052",14.63967,0,12610,0,0
"02053",11.66822,3,13162,.227929,.2571086
"02054",12.27569,0,8144,0,0
"02056",15.36293,5,11388,.439059,.3254588
"02061",21.25297,0,10897,0,0
"02062",10.52186,63,29121,2.16339,5.987535
"02066",19.12571,13,18042,.720541,.6797132
"02067",23.62978,1,18148,.055102,.0423195
"02071",.9833435,0,1572,0,0
"02072",16.46252,76,28338,2.68191,4.616548
"02081",18.46911,30,19358,1.54975,1.624334
"02090",11.1865,18,15612,1.15296,1.609083
"02093",22.61053,3,11597,.258688,.1326815
"02108",.1364323,6,4211,1.42484,43.97786
"02109",.2871727,11,4051,2.71538,38.30447
"02110",.2747723,23,2270,10.1322,83.70567
"02111",.2872531,26,7452,3.489,90.51253
"02113",.1002924,0,7464,0,0
"02114",.5639682,30,13247,2.26466,53.19448
"02115",.7496162,76,29244,2.59882,101.3852
"02116",.7420351,56,23215,2.41223,75.46813
"02118",1.098299,84,27325,3.07411,76.48189
"02119",1.59752,119,28152,4.22705,74.49046
"02120",.6206515,43,15719,2.73554,69.28204
"02121",1.754382,95,28479,3.33579,54.15012
"02122",2.665243,85,24643,3.44926,31.89203
"02124",3.073344,191,55074,3.46806,62.1473
"02125",2.440918,91,35254,2.58127,37.28105
"02126",2.103116,78,29141,2.67664,37.08783
"02127",2.636903,133,37257,3.5698,50.43796
"02128",5.98996,135,46655,2.89358,22.53771
"02129",1.836597,71,18901,3.75641,38.65845
"02130",3.460902,107,39435,2.71333,30.9168
"02131",2.591769,123,32819,3.74783,47.45792
"02132",4.646152,183,28505,6.41993,39.38743
"02134",1.377897,57,18057,3.15667,41.3674
"02135",2.853807,129,42644,3.02504,45.20278
"02136",4.7004,178,33084,5.38024,37.86912
"02138",3.05382,121,37668,3.21228,39.6225
"02139",1.692058,91,36979,2.46086,53.78066
"02140",1.175407,42,19737,2.12798,35.73232
"02141",.6540211,25,13664,1.82963,38.22506
"02142",.4887038,4,2929,1.36565,8.184917
"02143",1.544032,106,26773,3.95921,68.65144
"02144",1.085759,61,24682,2.47144,56.18187
"02145",1.484597,90,26430,3.40522,60.62252
"02148",5.083504,269,61375,4.38289,52.91625
"02149",3.668669,116,44993,2.57818,31.6191
"02150",2.457591,113,39263,2.87803,45.97998
"02151",7.137929,187,53873,3.47113,26.19808
"02152",3.161799,85,18391,4.62183,26.88343
"02155",8.765269,247,59779,4.13189,28.1794
"02163",.1181025,2,2569,.778513,16.93445
"02169",10.43486,340,56541,6.01334,32.5831
"02170",2.154655,84,19434,4.32232,38.98536
"02171",4.363918,82,17849,4.59409,18.79045
