Zipcode,Latitude,Longitude,Total_Students,Free Lunch (%),Reduced Lunch (%),PCT_FreeReduced,Grad Rate (%),College Readiness (%),Stop Count,Stops Per Capita,Stops per Sq Mile
48207,42.3524,-83.0271,6083.0,0.76689133651159,0.0447147788919941,0.811606115403584,0.867041198501873,0.0405405405405405,264,12.2739,41.22557
48208,42.3495,-83.0927,2361.0,0.90004235493435,0.012282930961457,0.912325285895807,0.496551724137931,0.0,176,19.4884,55.65866
48209,42.3097,-83.1155,5606.0,0.868533713877988,0.0101676774884053,0.878701391366393,0.720388349514563,0.0684326710816777,164,4.96398,23.78296
48210,42.3376,-83.1303,8305.0,0.897652016857315,0.0137266706803131,0.911378687537628,0.927868852459016,0.117117117117117,131,4.34422,25.99374
48212,42.4081,-83.0583,8012.0,0.944333499750374,0.0074887668497254,0.9518222666001,0.83451536643026,0.158256880733945,216,5.73888,40.25428
48214,42.3669,-82.9938,3018.0,0.901259111994698,0.013585155732273,0.914844267726971,0.316455696202532,0.0,160,7.62377,28.42194
48215,42.3773,-82.9513,1303.0,0.85264773599386,0.0629316960859555,0.915579432079816,0.944444444444444,0.0,113,9.40883,28.15955
48216,42.3275,-83.0827,486.0,0.925925925925926,0.0185185185185185,0.944444444444444,0.643564356435644,0.0,96,17.5567,43.4418
48218,42.2692,-83.1364,2149.0,0.77105630525826,0.0116333178222429,0.782689623080503,0.888888888888889,0.0,11,1.45522,3.977859
48219,42.426,-83.2495,5537.0,0.878634639696587,0.0283547047137439,0.906989344410331,0.607594936708861,0.0,205,4.18923,24.37911
48220,42.4586,-83.1363,2976.0,0.579637096774194,0.0631720430107527,0.642809139784946,0.745398773006135,0.12962962962963,16,0.702957,3.615437
48221,42.426,-83.15,3978.0,0.797637003519357,0.0175967823026647,0.815233785822021,0.698795180722892,0.0,198,4.88455,36.31398
48223,42.3945,-83.2454,2142.0,0.939309056956116,0.0112044817927171,0.950513538748833,0.9125,0.0972222222222222,130,5.40878,21.47346
48224,42.4098,-82.9441,4886.0,0.887433483422022,0.0032746623004502,0.890708145722472,0.720238095238095,0.0,201,4.70462,35.0497
